identificacion|nombre|edad|altura_cm|peso_lb|sexo|salario|ciudad|fecha_registro|nivel_educacion|email
1842222836|Paola Mera Rodriguez|31.0|166.4|141.8|F|480.0|Ambato|28/03/2023|Secundaria|
1829202652|isabela molina silva|39.0|167.8|166.2|m|480.0|Ambato|20/08/2025|Tecnico|isabela.molina.silva@gmail.com
1801036961|Fernanda Reyes Benítez|31.0|177.4|195.7|m|605.28|Ambato|Apr 05, 2025|Secundaria|
1823588783|gustavo molina mera|39.0|169.4|166.7|F|826.56|Ambato|06/03/2025|Secundaria|
1816160012001|Sebastián Torres Cruz|28.0|179.4|183.7|m|1090.22|Ambato|2024-07-12|Universidad|sebastian.torres.cruz@hotmail.com
1813762026|Esteban  Villamar  Navarro|37.0|191.7|197.9|M|1003.85|Ambato|2025-11-13|Secundaria|
1817361916|GABRIELA SILVA ESPINOZA|46.0|157.4|108.3|f|635.22|Ambato|2026-01-01|Secundaria|
1833172982|Carmen Mendoza Valencia|53.0|183.0|187.5|m|480.0|Ambato|11/05/2024|Tecnico|
1804796611001| javier quintero villamar ||169.5|146.7|m|480.0|Ambato|17/08/2023|Primaria|
1841146465001| NATALIA FLORES ESPINOZA|28.0|179.6|157.7|m|1109.9|Ambato||Universidad|
1828698470|David Loor Rodriguez|34.0|167.6|130.7|f|1168.12|Ambato|2024-05-27|Tecnico|david.loor.rodriguez@empresa.ec
1829442910| DIEGO REYES SUÁREZ |33.0|161.7|156.3|M|480.0|Ambato|2023-03-04|Tecnico|
1802726487| kevin suárez flores |31.0|173.4|152.9|m|480.0|Ambato|2024-02-10|Tecnico|
1823975949001|carmen flores valencia|38.0|173.3|159.0|M|480.0|Ambato|2025-11-19|Universidad|carmen.flores.valencia@empresa.ec
1856284441|Gustavo Sanchez Molina|53.0|171.1|165.0|f|696.58|Ambato|10/01/2023|Tecnico|gustavo.sanchez.molina@yahoo.com
1855241640001|Javier Moreno Paredes|39.0|173.7|139.3|f|524.66|Ambato|Sep 23, 2023|Primaria|javier.moreno.paredes@gmail.com
1827489681| ana navarro guerrero |50.0|164.2|130.3|f|1177.68|Ambato|05/08/2024|Tecnico|ana.navarro.guerrero@hotmail.com
1825767724001|Carla Rodriguez Cornejo|37.0|167.5|177.1|M|480.0|Ambato|2025-06-28|Secundaria|carla.rodriguez.cornejo@empresa.ec
1846603023|María López Arévalo|35.0|170.9|158.7|m|480.0|Ambato||Secundaria|maria.lopez.arevalo@outlook.com
1807332224001|Andrea Rojas Carrillo|44.0|166.7|127.9|F|480.0|Ambato|26/01/2026|Secundaria|andrea.rojas.carrillo@hotmail.com
1801686955|  Esteban  Cruz  López  |31.0|182.6|179.4|m|621.39|Ambato|03/12/2024|Universidad|
1855789960001|javier chávez silva|29.0|171.4|166.6|m|554.88|Ambato|2023-11-27|Universidad|
1812798880|Andrea Salazar Solís|27.0|163.6|116.6|F|607.36|Ambato|2025-02-16|Secundaria|
1855652374|  Luis  Espinoza  Loor  |29.0|162.3|128.4|F|665.0|Ambato|2025-07-14|Universidad|
1823833825|Sebastián Espinoza López|29.0|166.1|134.3|F|480.0|Ambato|2024-01-26|Tecnico|
1855090757|SAMUEL SALAZAR CRUZ|43.0|184.4|202.7|M|942.85|Ambato|29/09/2024|Maestria|samuel.salazar.cruz@empresa.ec
1855569453| LUCÍA ACOSTA DELGADO |46.0|158.7|127.3|f|541.65|Ambato|07/08/2023|Universidad|lucia.acosta.delgado@hotmail.com
1844988400|JAVIER MENDOZA QUINTERO|32.0|173.8|146.0|M|480.0|Ambato||Universidad|javier.mendoza.quintero@hotmail.com
1825707209|Bryan López Espinoza|28.0|175.4|199.7|m|539.0|Ambato|2024-07-25|Maestria|bryan.lopez.espinoza@empresa.ec
1818710137|mateo romero castro|35.0|176.0|164.0|m|962.14|Ambato|Jan 27, 2023|Primaria|
1802285724|tatiana loor moreno|30.0|166.0|137.2|M|503.42|Ambato|Aug 11, 2025|Maestria|
1820781233|Andrés Ortega Mera|31.0|174.0|193.9|m|480.0|Ambato|2023-11-22|Primaria|
1800310573|luis herrera peña|32.0|164.8|127.5|f|574.93|Ambato|25/06/2023|Secundaria|luis.herrera.pena@outlook.com
1846815189001|Cristian Romero López|39.0|170.5|195.2|m|480.0|Ambato|09/04/2024|Secundaria|cristian.romero.lopez@outlook.com
1802918076001|Melanie Navarro Mera|30.0|158.2|119.5|f|1591.32|Ambato|Apr 15, 2023|Universidad|
1803450889|Kevin Alvarado Vera|47.0|174.6|188.3|m|480.0|Ambato|2026-01-24|Secundaria|
1810057305|ana zambrano chávez|26.0|156.1|104.1|f|480.0|Ambato|31/05/2025|Tecnico|
1824176968|Adriana Carrillo Zambrano|33.0|184.7|213.9|m|480.0|Ambato|2023-10-08|Universidad|
1850014208|Pedro Sanchez Zambrano|34.0|163.2|156.3|M|498.73|Ambato|2023-09-03|Universidad|
1806404784|Paola Sanchez Quintero|37.0|184.2|186.8|m|480.0|Ambato|2025-04-30|Universidad|
1856512239|Carmen Solís Salazar|42.0|164.8|180.7|m|480.0|Ambato|03/03/2024|Universidad|
1812673356|Andrés Loor Peña|46.0|171.8|182.5|M|1329.28|Ambato|14/11/2025|Universidad|
1810840536|DIANA MORENO GUERRERO|42.0|168.6|138.4|F|2368.52|Ambato|22/07/2025|Universidad|
1802885960|Diana Zambrano Guerrero|28.0|152.8|112.4|f|1258.95|Ambato|2023-06-26|Universidad|
1810959625001|MATEO VILLACÍS REYES|43.0|161.1|137.9|F|480.0|Ambato|28/01/2026|Universidad|
1826498758001|  Vanessa  Cruz  Salazar  |46.0|164.3|149.5|m|480.0|Ambato|2024-03-27|Universidad|vanessa.cruz.salazar@hotmail.com
1835076074| david reyes flores |29.0|180.8|179.3|m|975.17|Ambato|2024-02-29|Universidad|DAVID.REYES.FLORES@GMAIL.COM
1858149303|andrés navarro rojas|27.0|169.4|135.3|m|480.0|Ambato|31/03/2024|Maestria|
1855143838| Natalia Guerrero Villacís|33.0|182.3|182.7|m|480.0|Ambato|2024-02-14|Secundaria|.natalia.guerrero.villacis@hotmail.com
1854557251|Carlos  Cedeño  Villamar|43.0|175.4|181.2|f|1347.2|Ambato|09/09/2024|Universidad|carlos.cedeno.villamar@outlook.com
1819798347001|Paola Zambrano Solís|31.0|174.8|160.7|F|1672.55|Ambato|2023-07-22|Maestria|
1809989195|Gustavo Torres Villamar|30.0|168.9|148.5|m|1041.03|Ambato|2025-06-11|Secundaria|gustavo.torres.villamar@yahoo.com
1852177441|Samuel Navarro Salazar|34.0|173.8|169.9|F|842.18|Ambato|Dec 25, 2024|Secundaria| samuel.navarro.salazar@gmail.com 
1844469922|luis cruz bravo|37.0|173.9|187.8|f|480.0|Ambato|16/05/2023|Universidad|
1829137296|valeria navarro silva|44.0|168.0|129.7|f|514.67|Ambato||Universidad|
1851248219| María Arévalo Mera |41.0|169.7|182.9|F|552.38|Ambato|27/02/2023|Universidad|maria.arevalo.mera@outlook.com
1858549197001|  NATALIA  VERA  LÓPEZ||165.2|130.7|f|550.11|Ambato|18/11/2023|Universidad|
1855770390| SAMUEL CARRILLO SILVA ||191.8|204.8|m|480.0|Ambato|2023-10-13|Universidad|
1821836044|RICARDO GARCÍA SILVA|38.0|150.9|95.0|f|616.82|Ambato|2025-01-31|Tecnico|ricardo.garcia.silva@yahoo.com
1833893975|NICOLE  VALENCIA  BENÍTEZ|41.0|166.9|145.8|f|480.0|Ambato|2023-12-20|Universidad|
1834197525|Andrés Flores Benítez|42.0|180.3|215.8|m|530.77|Ambato|2024-12-25|Secundaria|andres.flores.benitez@outlook.com
1811175130|VALERIA RODRIGUEZ TAPIA|53.0|164.8|158.2|f|557.82|Ambato|2023-06-18|Tecnico|valeria.rodriguez.tapia@yahoo.com
1803702099|Alejandra Alvarado Tapia||165.0|132.4|f|480.0|Ambato|2024-10-18|Maestria|alejandra.alvarado.tapia@empresa.ec
1802546919|miguel solís paredes|52.0|161.2|140.2|f|813.15|Ambato|2023-01-04|Secundaria|
1842637058|Mateo  Bravo  Paredes|29.0|159.2|139.5|F|480.0|Ambato|17/06/2024|Secundaria|
1823839673001|Isabela Alvarado Villamar|39.0|157.0|129.6|F|480.0|Ambato|2023-10-04|Universidad|ISABELA.ALVARADO.VILLAMAR@YAHOO.COM
1823638489|cristian cedeño reyes||176.5|177.9|M|981.48|Ambato|2025-08-05|Tecnico|cristian.cedeno.reyes@empresa.ec
