identificacion,nombre,edad,altura_cm,peso_lb,sexo,salario,ciudad,fecha_registro,nivel_educacion,email,nombre_clean
1123883660,cristian garcía salazar,34.0,162.7,141.0,F,480.0,Loja,23/06/2024,Tecnico,cristian.garcia.salazar@outlook.com,Cristian García Salazar
151660750,David García Cruz,38.0,161.6,137.2,F,480.0,Cuenca,"Sep 20, 2024",Secundaria,,David García Cruz
929644482, Camila Vera Mendoza ,42.0,169.3,162.3,M,485.16,Guayaquil,2023-07-16,Universidad, camila.vera.mendoza@hotmail.com ,Camila Vera Mendoza
118780790,Carla Flores Salazar,34.0,164.1,129.6,F,931.48,Cuenca,19/08/2025,Maestria, CARLA.FLORES.SALAZAR@YAHOO.COM ,Carla Flores Salazar
1739303541,CARLA CORNEJO VILLACÍS,31.0,,125.9,F,1526.19,Quito,"May 06, 2024",Secundaria,carla.cornejo.villacis@outlook.com,Carla Cornejo Villacís
843569658,tatiana valencia sanchez,49.0,164.2,125.4,F,591.2,Esmeraldas,02/05/2023,Universidad,tatiana.valencia.sanchez@gmail.com,Tatiana Valencia Sanchez
1716668197,Kevin Cornejo Romero,35.0,172.6,164.9,F,580.23,Quito,2023-04-24,Universidad,kevin.cornejo.romero@outlook.com,Kevin Cornejo Romero
1732742646,Luis Jiménez Cornejo,29.0,177.4,190.9,M,677.18,Quito,2025-07-26,Secundaria,luis.jimenez.cornejo@hotmail.com,Luis Jiménez Cornejo
2438667194,melanie cruz valencia,48.0,175.1,196.3,M,735.35,Salinas,09/04/2024,Maestria,melanie.cruz.valencia@empresa.ec,Melanie Cruz Valencia
156485369,CARLA  CEDEÑO  GARCÍA,30.0,175.6,173.4,M,638.05,Cuenca,2025-07-06,Tecnico,carla.cedeno.garcia@empresa.ec,Carla  Cedeño  García
2353986694001,David Paredes Herrera,27.0,163.9,135.1,F,1020.08,Santo Domingo,2026-02-06,Universidad, david.paredes.herrera@empresa.ec ,David Paredes Herrera
152298048001,Gabriela Valencia Quintero,36.0,165.7,141.3,M,480.0,Cuenca,2025-11-07,Secundaria,gabriela.valencia.quintero@hotmail.com,Gabriela Valencia Quintero
1339077826001,Sofía Rodriguez Tapia,48.0,174.6,170.4,M,573.12,Portoviejo,2025-12-14,Universidad,,Sofía Rodriguez Tapia
149455354, Cristian Navarro Rojas ,55.0,164.9,115.4,F,979.79,Cuenca,"Aug 12, 2023",Universidad,,Cristian Navarro Rojas
1051345716,Gabriela Mendoza Vera,32.0,174.1,171.7,M,618.08,Ibarra,"Oct 02, 2023",Universidad,,Gabriela Mendoza Vera
1754849469,Samuel García Flores,49.0,173.5,178.0,M,480.0,Quito,2024-05-08,Universidad,samuel.garcia.flores@hotmail.com,Samuel García Flores
1729251122,Andrea Cruz Benítez,37.0,163.3,126.8,F,480.0,Quito,09/07/2023,Secundaria,andrea.cruz.benitez@hotmail.com,Andrea Cruz Benítez
654178318,ADRIANA REYES MENDOZA,42.0,174.4,175.7,M,565.6,Riobamba,"Aug 11, 2024",Tecnico,adriana.reyes.mendoza@gmail.com,Adriana Reyes Mendoza
1134249562,Kevin Cedeño Acosta,29.0,164.6,123.8,F,923.7,Loja,2025-03-11,Maestria,,Kevin Cedeño Acosta
901566729,DAVID NAVARRO REYES,37.0,168.9,170.0,M,592.2,Guayaquil,,Secundaria,david.navarro.reyes@yahoo.com,David Navarro Reyes
1253569352,Carmen Chávez Quintero,38.0,154.7,126.5,F,480.0,Quevedo,"Jul 26, 2025",Secundaria,,Carmen Chávez Quintero
1056656703,SOFÍA CEDEÑO SANCHEZ,36.0,180.2,175.2,M,754.1,Ibarra,2024-05-13,Tecnico,sofia.cedeno.sanchez@outlook.com,Sofía Cedeño Sanchez
1346357468, Jose Carrillo Arévalo ,36.0,164.6,151.8,F,916.1,Manta,22/01/2025,Maestria,jose.carrillo.arevalo@hotmail.com,Jose Carrillo Arévalo
909461469,DIANA TAPIA ZAMBRANO,35.0,161.4,151.2,M,480.0,Guayaquil,2023-05-06,Universidad,,Diana Tapia Zambrano
2442091290001, Adriana Suárez Rojas ,32.0,156.1,116.8,F,480.0,Salinas,2024-02-18,Universidad,adriana.suarez.rojas@empresa.ec,Adriana Suárez Rojas
124896085,Luis Romero Chávez,34.0,166.1,151.4,F,480.0,Cuenca,2023-04-26,Universidad,luis.romero.chavez@gmail.com,Luis Romero Chávez
144406386,Sebastián Solís Reyes,41.0,163.4,137.6,F,598.65,Cuenca,03/03/2023,Secundaria,sebastian.solis.reyes@gmail.com,Sebastián Solís Reyes
909897464001,Jorge Cruz Espinoza,35.0,163.5,129.6,F,480.0,Guayaquil,02/07/2025,Tecnico,,Jorge Cruz Espinoza
1333905410001,Miguel López Tapia,35.0,162.5,152.0,F,761.8,Manta,2023-07-24,Maestria,,Miguel López Tapia
